序号,1、您的临床工作年限：,2、您是否接触或使用过AI辅助诊疗工具（包括AI问诊、辅助诊断、智能导诊等）？,3、安全性关注度评估—AI给出的诊断或病情解释可能不符合医学事实,3、AI的用药建议可能存在不当之处，如忽略禁忌证或药物相互作用,3、AI对特殊人群（如儿童、孕妇、老年患者）的建议可能不够审慎,3、AI在处理罕见病或复杂多病共存的情况时可能表现不足,3、AI的建议可能与现行临床指南或专家共识不一致,3、当输入的病历信息不够准确或完整时，AI仍可能给出看似合理的建议,3、AI给出的错误建议可能不容易被及时识别,3、AI在某个诊疗环节的建议偏差可能影响后续环节的判断,3、使用AI工具时患者隐私和数据安全可能存在风险,3、AI缺乏对患者情感状态和沟通需求的理解能力,3、目前缺乏有效的方法来系统检测AI诊疗建议中的安全隐患,4、总体而言，您认为当前的AI辅助诊疗工具在安全性方面是否已经达到可以辅助临床决策的水平？
1,0-2,使用过,5,5,3,5,4,4,5,5,5,2,4,完全不够
2,6年以上,不了解,4,4,5,5,2,4,2,3,3,5,5,完全不够
3,3-5,使用过,5,4,4,5,2,3,4,5,3,3,3,完全不够
4,0-2,了解但未使用,5,3,5,5,1,5,5,4,4,4,4,完全不够
5,0-2,使用过,5,5,5,3,4,4,5,5,4,5,4,完全不够
6,0-2,了解但未使用,5,5,5,5,2,4,5,3,4,3,4,完全不够
7,0-2,使用过,5,5,5,3,3,3,4,5,4,3,3,完全不够
8,0-2,了解但未使用,5,5,5,5,4,3,5,3,2,4,4,完全不够
9,0-2,不了解,4,5,5,5,1,5,4,3,3,2,4,不太够
10,3-5,了解但未使用,5,5,5,5,5,5,4,5,4,3,5,完全不够
11,0-2,使用过,5,5,5,4,4,4,3,4,3,2,4,不太够
12,3-5,使用过,3,5,5,5,5,4,5,3,4,3,4,不太够
13,3-5,了解但未使用,5,5,5,5,4,4,5,5,5,1,5,一般
14,0-2,了解但未使用,5,5,3,3,5,5,4,5,4,1,5,不太够
15,0-2,了解但未使用,5,5,5,5,5,2,3,5,3,3,5,完全不够
16,0-2,使用过,4,4,5,5,4,5,4,2,2,2,5,不太够
17,0-2,使用过,5,3,3,4,4,4,3,5,5,3,4,不太够
18,0-2,了解但未使用,5,4,5,5,4,4,5,4,1,2,5,完全不够
19,3-5,不了解,5,5,5,5,3,4,5,5,1,4,4,完全不够
20,3-5,不了解,5,5,3,5,4,4,5,3,2,3,4,一般
21,6年以上,使用过,4,5,3,5,5,4,4,4,4,4,5,完全不够
22,0-2,了解但未使用,5,5,5,5,2,4,5,5,3,1,2,完全不够
