llama31_streval_ra,,,,
,1,2,3,4
gggg,5,7,6,8
gggb,5,7,6,88
ggbg,5,7,94,91
gbgg,5,86,83,85
bggg,90,81,84,85
ggbb,5,7,94,95
gbgb,5,86,83,92
gbbg,5,86,95,92
bggb,90,81,84,93
bgbg,90,81,94,92
bbgg,90,94,92,92
gbbb,5,86,95,95
bgbb,90,81,94,95
bbgb,90,94,92,93
bbbg,90,94,94,93
bbbb,90,94,94,96
biollama3_broken_ra,,,,
,1,2,3,4
gggg,5,7,6,8
gggb,5,7,6,20
ggbg,5,7,21,25
gbgg,5,20,19,19
bggg,14,16,18,19
ggbb,5,7,21,30
gbgb,5,20,19,29
gbbg,5,20,23,28
bggb,14,16,18,30
bgbg,14,16,26,27
bbgg,14,19,23,23
gbbb,5,20,23,33
bgbb,14,16,26,29
bbgb,14,19,23,30
bbbg,14,19,22,25
bbbb,14,19,22,33
biollama3_0.5_broken_llama31_ra,,,,
,1,2,3,4
gggg,5,7,6,8
gggb,5,7,6,71
ggbg,5,7,72,70
gbgg,5,65,68,67
bggg,69,69,69,68
ggbb,5,7,72,71
gbgb,5,65,68,69
gbbg,5,65,73,68
bggb,69,69,69,71
bgbg,69,69,70,66
bbgg,69,75,73,70
gbbb,5,65,73,73
bgbb,69,69,70,71
bbgb,69,75,73,71
bbbg,69,75,77,76
bbbb,69,75,77,77
biollama3_0.5_broken_ra_paa,,,,
,1,2,3,4
gggg,5,7,6,8
gggb,5,7,6,82
ggbg,5,7,82,80
gbgg,5,81,80,79
bggg,72,69,66,66
ggbb,5,7,82,82
gbgb,5,81,80,83
gbbg,5,81,76,76
bggb,72,69,66,78
bgbg,72,69,77,76
bbgg,72,85,83,83
gbbb,5,81,76,84
bgbb,72,69,77,80
bbgb,72,85,83,80
bbbg,72,85,79,79
bbbb,72,85,79,85
